FileName,GPT-4-Eval,Human Rater 1,Human Rater 2,Human Final,Winnability
0512_object_test_1_p_gpt-4-32k_refrigerate-food_generation_v0.py,1,1,1,1,0
0512_object_test_2_p_gpt-4-32k_volume-stone_generation_v0.py,1,1,1,1,0
0512_object_test_3_p_gpt-4-32k_wash-clothes_generation_v0.py,1,1,1,1,0
0512_object_test_4_p_gpt-4-32k_metal-detector_generation_v0.py,1,1,1,1,1
0512_object_test_5_p_gpt-4-32k_bath-tub-water-temperature_generation_v0.py,1,1,1,1,0
0512_object_test_6_p_gpt-4-32k_conductivity_generation_v0.py,1,1,1,1,1
0512_object_test_7_p_gpt-4-32k_boil-water_generation_v0.py,1,1,1,1,0
0512_object_test_8_p_gpt-4-32k_sunburn_generation_v0.py,1,1,1,1,1
0512_object_test_9_p_gpt-4-32k_volume_generation_v0.py,1,1,1,1,1
0512_object_test_10_p_gpt-4-32k_make-ice-cubes_generation_v0.py,1,1,1,1,0
0512_object_test_11_p_gpt-4-32k_bath-tub-water-temperature_generation_v0.py,1,1,1,1,0
0512_object_test_12_p_gpt-4-32k_dishwasher_generation_v0.py,1,1,1,1,0
0512_object_test_13_p_gpt-4-32k_sunburn_generation_v0.py,1,1,1,1,0
0512_object_test_14_p_gpt-4-32k_sweep-floor_generation_v0.py,1,1,1,1,1
0512_object_test_15_p_gpt-4-32k_space-walk_generation_v0.py,1,1,1,1,1
0512_object_test_16_p_gpt-4-32k_balance-scale-weigh_generation_v0.py,1,1,1,1,0
0512_object_test_1_n_gpt-4-32k_plant-tree_generation_v0.py,1,1,1,1,0
0512_object_test_2_n_gpt-4-32k_take-photo_generation_v0.py,1,1,1,1,0
0512_object_test_3_n_gpt-4-32k_balance-scale-weigh_generation_v0.py,1,1,1,1,0
0512_object_test_4_n_gpt-4-32k_make-campfire_generation_v0.py,1,1,1,1,0
0512_object_test_5_n_gpt-4-32k_clean-energy_generation_v0.py,1,1,1,1,0
0512_object_test_6_n_gpt-4-32k_bird-life-cycle_generation_v0.py,1,1,1,1,0
0512_object_test_7_n_gpt-4-32k_hang-painting_generation_v0.py,1,1,1,1,1
0512_object_test_8_n_gpt-4-32k_volume_generation_v0.py,1,1,1,1,1
0512_object_test_9_n_gpt-4-32k_lit-lightbulb_generation_v0.py,1,1,1,1,1
0512_object_test_10_n_gpt-4-32k_metal-detector_generation_v0.py,1,1,1,1,0
0512_object_test_11_n_gpt-4-32k_inclined-plane_generation_v0.py,1,1,1,1,0
0512_object_test_12_n_gpt-4-32k_sunburn_generation_v0.py,1,1,1,1,1
0512_object_test_13_n_gpt-4-32k_scale-weigh_generation_v0.py,1,1,1,1,0
0512_object_test_14_n_gpt-4-32k_balance-scale-weigh_generation_v0.py,1,1,1,1,0
0512_object_test_15_n_gpt-4-32k_volume_generation_v0.py,1,1,1,1,0
0512_object_test_16_n_gpt-4-32k_bath-tub-water-temperature_generation_v0.py,1,1,1,1,0
0512_object_test_1_p_gpt-4-32k_refrigerate-food_generation_v3.py,1,1,1,1,0
0512_object_test_2_p_gpt-4-32k_volume-stone_generation_v3.py,1,1,1,1,0
0512_object_test_4_p_gpt-4-32k_metal-detector_generation_v3.py,1,0,1,0,1
0512_object_test_5_p_gpt-4-32k_bath-tub-water-temperature_generation_v3.py,1,1,1,1,0
0512_object_test_8_p_gpt-4-32k_sunburn_generation_v3.py,1,1,1,1,1
0512_object_test_10_p_gpt-4-32k_make-ice-cubes_generation_v1.py,1,1,1,1,0
0512_object_test_12_p_gpt-4-32k_dishwasher_generation_v2.py,1,1,1,1,0
0512_object_test_13_p_gpt-4-32k_sunburn_generation_v3.py,1,1,1,1,0
0512_object_test_15_p_gpt-4-32k_space-walk_generation_v3.py,1,1,1,1,1
0512_object_test_16_p_gpt-4-32k_balance-scale-weigh_generation_v3.py,1,1,1,1,0
0512_object_test_1_n_gpt-4-32k_plant-tree_generation_v3.py,1,1,1,1,0
0512_object_test_2_n_gpt-4-32k_take-photo_generation_v3.py,1,1,1,1,0
0512_object_test_3_n_gpt-4-32k_balance-scale-weigh_generation_v2.py,1,1,1,1,0
0512_object_test_4_n_gpt-4-32k_make-campfire_generation_v3.py,1,1,1,1,0
0512_object_test_5_n_gpt-4-32k_clean-energy_generation_v3.py,1,1,1,1,0
0512_object_test_7_n_gpt-4-32k_hang-painting_generation_v3.py,1,1,1,1,1
0512_object_test_11_n_gpt-4-32k_inclined-plane_generation_v3.py,1,1,1,1,0
0512_object_test_12_n_gpt-4-32k_sunburn_generation_v3.py,1,1,1,1,1
0512_object_test_13_n_gpt-4-32k_scale-weigh_generation_v3.py,1,1,1,1,0
0512_object_test_14_n_gpt-4-32k_balance-scale-weigh_generation_v3.py,1,1,1,1,0
0512_object_test_16_n_gpt-4-32k_bath-tub-water-temperature_generation_v1.py,1,1,1,1,0
